poi_id,poi_name,poi_category,poi_latitude,poi_longitude,poi_ratings,,,,,
505906771,Arena,park,47.3926102891541,8.42498751152812,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
214233676,Steakhaus,restaurant,51.3576451635311,7.49717306949481,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
128287318,Kaufland,supermarket,50.9792404151687,13.9492121974231,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
1454974,Kuhaugen,park,63.4297540004839,10.4301546260664,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
4809472321,西屋ラーメン,restaurant,38.7383364000879,141.0340794,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
4456517889,Webb Custom Kitchen,restaurant,35.2624866996705,-81.1836782,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
5517947084,手打ちうどんよしの,restaurant,34.1823272996082,131.2111969,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
9875316117,Bom prato,restaurant,-23.9403290999338,-46.3184579,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
7089765985,UBS Maracanã,clinic,-25.5344656997027,-54.567749,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
957133938,"Долгопрудная улица, 3",bus-stop,55.8935825997433,37.5411182,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
4334458572,Augenarzt,doctor,50.5773793993285,11.8068143,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
5401303003,Le Grand Bleu,restaurant,43.6954756005401,7.2749702,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
11267611754,Πάραυτα Μεζεδοπωλείο,restaurant,39.7385080002314,22.2889093,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
2173603802,École maternelle Le Valfray,school,45.3483097004312,5.5035502,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
9386522002,Калинка,convenience-store,55.0698889994422,57.5480196,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
10653355215,周庄,bus-stop,39.5813410002093,116.0311434,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
7361660423,和紙の里,bus-stop,36.0528838997408,139.2033391,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
9687264735,Moreno y San Martín,bus-stop,-34.5790307998016,-58.5367884,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
969874376,EuroSpin,supermarket,43.6862817534138,12.6484577900797,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
2262816612,Zevergem Kriekstraat,bus-stop,50.9804026992529,3.675981,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
595271235,OSS Orthopaedic Hospital,hospital,39.9169979761044,-76.6954932074149,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
8387359524,小西灣（藍灣半島） Siu Sai Wan (Island Resort),bus-stop,22.2659474004046,114.2510306,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
6067602922,"Avenida Doutor Alexandre Rasgulaeff, 1028",bus-stop,-23.402677800011,-51.9171073,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
5650642386,Woodward Avenue & Stanhope Street,bus-stop,40.7090428003584,-73.9126106,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
2033235373,Gasthaus,bus-stop,51.573054199163,14.4979281,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
